region,hemi,network,region_x,SA,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MOR,NET,NMDA,VAChT
17Networks_LH_ContC_pCun_2,LH,ContCpCun,17Networks_LH_ContC_pCun_2,147.66666666666666,23.646544186587445,-0.7832972968570414,46.972110849670834,2.0118680531130044,0.3323079696182328,4.5666642670902915,9.540857514612375,1.276940408588012,12.367082278021416,-0.4412155900067117,26.346981341646323,721.5565706136912,17.38825854914407,3.4623930373700307,-0.09194905821656181,17.1417367096339,0.01157428391548433,5.90481852055515,0.007873723253061257
17Networks_LH_ContC_Cingp_1,LH,ContCCingp,17Networks_LH_ContC_Cingp_1,151.75,23.711085413790897,-0.31334372951893097,50.43217236489021,1.765998100476006,0.2974047120758142,4.326668188772115,9.57634125541242,1.1541745662820533,12.094652158175531,-0.8585114682983074,28.145315133216005,760.2902458535905,17.94322585528479,2.8758365051791905,-0.5953999501115302,19.792215392294192,-0.037520841923982334,6.050890951766668,0.023073352619792
17Networks_LH_DefaultA_PFCd_1,LH,DefaultAPFCd,17Networks_LH_DefaultA_PFCd_1,366.6666666666667,40.99065570776421,-0.600199270282601,59.43981453557055,2.7116598233509337,0.5240421561550973,4.601963692044856,9.179130165191387,1.3997965313424785,13.686715454931617,1.837089187960717,27.04170989598204,720.4119882613833,16.32780759243983,4.028090533254243,0.4619359077556396,25.859616277669236,-0.009757325676628919,6.49397898477434,-0.0466724673167262
17Networks_LH_DefaultA_pCunPCC_1,LH,DefaultApCunPCC,17Networks_LH_DefaultA_pCunPCC_1,267.14285714285717,33.203935993535296,0.13335823005800912,60.36111013258182,2.676693932301473,0.5238150067572104,4.776705525551445,9.815622458056238,1.336015006456924,13.421201477421073,0.9798052527305278,27.90563452767416,777.5100890753029,16.179128710114625,3.888654956919108,0.5721777959582057,22.156717780129593,0.03235560732501351,6.661727838975167,0.028914894479874723
17Networks_LH_DefaultA_PFCm_1,LH,DefaultAPFCm,17Networks_LH_DefaultA_PFCm_1,356.8333333333333,26.507401257687878,0.14697435474536397,57.870265561097646,2.5593179101961696,0.37905026968389127,4.057573485066644,9.433957660739713,1.384149336243061,11.506746790048764,0.2185306461674038,24.810330363236904,714.6391489065368,15.90078802313856,3.7337038440309596,0.3981490619447339,23.129143021101488,-0.04405561163838526,5.483097395072124,-0.18682526631730656
17Networks_LH_DefaultB_Temp_1,LH,DefaultBTemp,17Networks_LH_DefaultB_Temp_1,350.6666666666667,32.433131402244676,0.8263974434805735,57.8837517437581,2.261997881638461,0.49022658999953744,4.932048094048373,10.363801708449706,1.4031759817291884,17.04314310517018,0.1524229230905535,28.14068696592884,791.0254012102745,19.613770590791244,3.7644055715268663,0.5792384078105414,28.31822517538984,0.013443960672694098,6.587233209429914,0.042771265874031066
17Networks_LH_DefaultB_Temp_2,LH,DefaultBTemp,17Networks_LH_DefaultB_Temp_2,350.6666666666667,32.433131402244676,0.8263974434805735,57.8837517437581,2.261997881638461,0.49022658999953744,4.932048094048373,10.363801708449706,1.4031759817291884,17.04314310517018,0.1524229230905535,28.14068696592884,791.0254012102745,19.613770590791244,3.7644055715268663,0.5792384078105414,28.31822517538984,0.013443960672694098,6.587233209429914,0.042771265874031066
17Networks_LH_DefaultB_IPL_1,LH,DefaultBIPL,17Networks_LH_DefaultB_IPL_1,320.75,36.55587815136341,0.8482475512328838,58.29186129619869,2.2799993583408575,0.5318337751095332,4.779427092964616,10.210141573071828,1.449500797504493,18.36849995019075,0.24821616270506255,27.84624413350825,816.8253008633869,24.247692888719463,3.9828096786809306,1.2631154475753825,32.8608076214106,0.023335116319426058,6.60049359920201,0.10427056017471217
17Networks_LH_DefaultB_PFCd_1,LH,DefaultBPFCd,17Networks_LH_DefaultB_PFCd_1,343.3333333333333,32.62510422867363,0.6487152589527635,56.313826328412226,2.1964213189106463,0.4255732042936599,4.42146001308445,10.528802673078816,1.4085301754832031,12.51366434158963,-0.1397666407857657,24.77501192205385,704.6058679240231,20.325947951957495,3.8499272692726003,0.23790658967905232,28.451884477235975,-0.02276572779611626,5.375457732500341,-0.08268247770878227
17Networks_LH_DefaultB_PFCl_1,LH,DefaultBPFCl,17Networks_LH_DefaultB_PFCl_1,353.5,26.88302895210935,0.8044353822847996,58.835819854223224,2.1503045216465777,0.47137019482001974,3.572075547139952,11.134709481456657,1.351693222702357,11.054327306379129,-0.47374302542651203,24.667237806489084,755.5788036047505,19.26124881263701,3.6578858459465167,0.022073688221446813,27.730511352547676,0.0024928251072768937,5.527462811105579,-0.16378397291539817
17Networks_LH_DefaultB_PFCv_1,LH,DefaultBPFCv,17Networks_LH_DefaultB_PFCv_1,334.0,25.140454111536513,0.32388284517624566,57.481655283918144,2.0710948522928527,0.40288654210003444,3.2873434910200325,10.662953912396379,1.310937083616062,9.141878836937755,-0.5986150761449484,23.047939880584124,685.0358942189553,18.62532157485831,3.5433148271812542,-0.428716008967017,25.573888526186153,-0.04191894457595219,5.642239064457909,-0.23592167188377622
17Networks_LH_DefaultB_PFCv_2,LH,DefaultBPFCv,17Networks_LH_DefaultB_PFCv_2,334.0,25.140454111536513,0.32388284517624566,57.481655283918144,2.0710948522928527,0.40288654210003444,3.2873434910200325,10.662953912396379,1.310937083616062,9.141878836937755,-0.5986150761449484,23.047939880584124,685.0358942189553,18.62532157485831,3.5433148271812542,-0.428716008967017,25.573888526186153,-0.04191894457595219,5.642239064457909,-0.23592167188377622
17Networks_LH_DefaultC_Rsp_1,LH,DefaultCRsp,17Networks_LH_DefaultC_Rsp_1,148.33333333333334,23.765392129329275,-0.21906481376725698,53.360819164477654,2.0127190471136394,0.3453260150126103,4.58386722212362,9.115086847271167,1.1936006959571166,15.35838091524243,-0.7864869435718981,26.610261607014277,749.2707388806999,18.195006634171673,3.418049936469391,-0.37585462164796374,16.523196242326012,-0.03494159032637149,6.740434377985001,-0.13957108198034293
17Networks_LH_DefaultC_PHC_1,LH,DefaultCPHC,17Networks_LH_DefaultC_PHC_1,161.33333333333334,24.993146025613445,-0.3412515772506251,51.63972539740438,2.035118160145465,0.41667157672291255,4.7753960061523095,9.282750859129335,1.1941808994845198,17.098023678135373,-0.7882066307245905,29.807419266787022,832.9660066810012,15.967115308331651,3.46093237253759,0.0525752430994435,13.709060591205345,-0.0148145081834508,6.98583166040487,-0.01641325910743819
17Networks_LH_TempPar_1,LH,TempPar1,17Networks_LH_TempPar_1,296.0,29.87998168229512,0.5756241864314915,60.90629495578081,2.462764332178656,0.6223515866488207,4.856475700666652,10.541345870490593,1.3184880044564768,20.35171794778676,-0.20269453100136395,29.878065936970263,902.8289391856464,20.06498712621892,4.577749843312024,1.494607208097211,19.984689628467056,0.0691902831371522,7.476742975671181,0.059258603652745045
17Networks_RH_VisCent_ExStr_1,RH,VisCentExStr,17Networks_RH_VisCent_ExStr_1,72.63636363636364,30.20871759205047,-0.5135444881968696,48.99339673395773,1.8689584099072158,0.35809395930878124,4.45484023105639,9.353951880657466,1.257218760684738,14.870246216438344,0.18014082945028287,28.901510206986334,782.7964495697438,15.574359978777938,3.3988467563896205,-0.5555574761373075,11.24474806234164,-0.009311497866072006,6.5710003111908515,-0.1813631561261312
17Networks_RH_VisCent_ExStr_2,RH,VisCentExStr,17Networks_RH_VisCent_ExStr_2,72.63636363636364,30.20871759205047,-0.5135444881968696,48.99339673395773,1.8689584099072158,0.35809395930878124,4.45484023105639,9.353951880657466,1.257218760684738,14.870246216438344,0.18014082945028287,28.901510206986334,782.7964495697438,15.574359978777938,3.3988467563896205,-0.5555574761373075,11.24474806234164,-0.009311497866072006,6.5710003111908515,-0.1813631561261312
17Networks_RH_VisCent_ExStr_3,RH,VisCentExStr,17Networks_RH_VisCent_ExStr_3,72.63636363636364,30.20871759205047,-0.5135444881968696,48.99339673395773,1.8689584099072158,0.35809395930878124,4.45484023105639,9.353951880657466,1.257218760684738,14.870246216438344,0.18014082945028287,28.901510206986334,782.7964495697438,15.574359978777938,3.3988467563896205,-0.5555574761373075,11.24474806234164,-0.009311497866072006,6.5710003111908515,-0.1813631561261312
17Networks_RH_VisPeri_StriCal_1,RH,VisPeriStriCal,17Networks_RH_VisPeri_StriCal_1,27.5,18.382816772838858,1.801974231348679,56.11860437716215,1.771338945358624,0.4168369497189063,5.205789037498502,9.301778593883764,1.1354972029068384,13.140874630703138,-0.6749327782895035,27.990079590641813,902.3758482540404,15.126953403139854,4.315456826336168,-0.4516018354240695,3.6055887380839646,0.02834843889797398,6.635500144434958,-0.1601062098237108
